"","MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","BOROUGH_ID"
"22605","2020 / 03","Bronx","04",3893.3,264.4,404.7,11.7,NA,NA,NA,2
"22606","2020 / 03","Bronx","09",3569.3,216.1,337.3,NA,NA,NA,NA,2
"22607","2020 / 04","Manhattan","06",2068.8,435.9,435.3,40.2,NA,NA,NA,1
"22608","2020 / 04","Brooklyn","15",4468.6,543.4,589.2,44.8,NA,NA,NA,3
"22609","2020 / 04","Brooklyn","12",6179.6,723.8,508.4,33.2,NA,NA,NA,3
"22610","2020 / 04","Queens","09",3676.6,391.8,621,153.9,NA,NA,NA,4
"22611","2020 / 04","Brooklyn","18",5367.7,549.5,690.3,NA,NA,NA,NA,3
"22612","2020 / 04","Brooklyn","05",4405.4,253.4,463.6,NA,NA,NA,NA,3
"22613","2020 / 04","Queens","05",4698.1,586.6,940.5,121.6,NA,NA,NA,4
"22614","2020 / 04","Brooklyn","17",4078.9,284.3,459,NA,NA,NA,NA,3
"22615","2020 / 04","Bronx","10",2542.8,284.4,485,78,NA,NA,NA,2
"22616","2020 / 05","Brooklyn","17",4791.8,334.5,519,NA,NA,NA,NA,3
"22617","2020 / 05","Manhattan","05",1017.3,212.6,169.1,NA,NA,NA,NA,1
"22618","2020 / 05","Queens","08",4044.8,449.2,481.7,3.3,NA,NA,NA,4
"22619","2020 / 05","Bronx","12",4506.3,417,702.3,12.5,NA,NA,NA,2
"22620","2020 / 05","Brooklyn","04",3419.2,323.4,473.4,NA,NA,NA,NA,3
"22621","2020 / 05","Queens","01",4382.4,609.6,766.9,NA,NA,NA,NA,4
"22622","2020 / 05","Queens","03",5416.8,398.3,607.4,NA,NA,NA,NA,4
"22623","2020 / 05","Queens","11",3554.5,465.8,542.8,8.9,NA,NA,NA,4
"22624","2020 / 05","Manhattan","08",3986.3,908.5,797.3,0.7,NA,NA,NA,1
"22625","2020 / 05","Brooklyn","01",5289.9,744.4,587,1.9,NA,NA,NA,3
"22626","2020 / 05","Brooklyn","13",2157.3,191.6,267.3,0.8,NA,NA,NA,3
"22627","2020 / 06","Brooklyn","11",5760.6,655.5,733.3,NA,NA,NA,NA,3
"22628","2020 / 06","Queens","12",8585.7,604,1246.4,NA,NA,NA,NA,4
"22629","2020 / 06","Staten Island","01",6633.5,709.1,1124.1,NA,NA,NA,NA,5
"22630","2020 / 06","Queens","13",7129.4,530.1,1228.2,NA,NA,NA,NA,4
"22631","2020 / 06","Brooklyn","01",5831.8,730.3,612.6,NA,NA,NA,NA,3
"22632","2020 / 07","Queens","08",4309.3,512,516.9,NA,NA,NA,NA,4
"22633","2020 / 07","Queens","07",7653,890.4,946.8,NA,NA,NA,NA,4
"22634","2020 / 07","Bronx","12",4959.5,500.1,765.4,NA,NA,NA,NA,2
"22635","2020 / 07","Manhattan","09",2477.5,302.9,343.4,NA,NA,NA,NA,1
"22636","2020 / 07","Brooklyn","06",2322.7,547.8,470.5,NA,NA,NA,NA,3
"22637","2020 / 07","Brooklyn","13",2463.8,223.3,289.7,NA,NA,NA,NA,3
"22638","2020 / 08","Brooklyn","17",5342.7,361.1,554.3,NA,NA,NA,NA,3
"22639","2020 / 08","Brooklyn","08",3045.1,332.7,353.8,NA,NA,NA,NA,3
"22640","2020 / 08","Staten Island","01",6392.4,595.3,908.6,NA,NA,NA,NA,5
"22641","2020 / 08","Manhattan","01",1209.4,300.9,219.1,NA,NA,NA,NA,1
"22642","2020 / 08","Brooklyn","16",2681,131.4,209.8,NA,NA,NA,NA,3
"22643","2020 / 08","Manhattan","02",1816.1,349.4,293.8,NA,NA,NA,NA,1
"22644","2020 / 08","Bronx","03",2326.3,166,246.3,NA,NA,NA,NA,2
"22645","2020 / 09","Brooklyn","12",6959.8,832.1,403.1,NA,NA,NA,NA,3
"22646","2020 / 09","Manhattan","05",1269.8,300.8,201.5,NA,NA,NA,NA,1
"22647","2020 / 09","Bronx","04",4395.7,337.2,435.2,NA,NA,NA,NA,2
"22648","2020 / 09","Bronx","08",2610.6,384,440.9,NA,NA,NA,NA,2
"22649","2020 / 09","Bronx","07",3946.7,412.8,618.8,NA,NA,NA,NA,2
"22650","2020 / 09","Manhattan","09",2340.7,299.7,285.1,NA,NA,NA,NA,1
"22651","2020 / 09","Brooklyn","15",5053.9,587,554.5,NA,NA,NA,NA,3
"22652","2020 / 09","Brooklyn","16",2575.8,125,217.5,NA,NA,NA,NA,3
"22653","2020 / 10","Bronx","10",2959.5,349.8,489.3,NA,NA,NA,NA,2
"22654","2020 / 10","Queens","13",6140.8,550.9,950.2,NA,NA,NA,NA,4
"22655","2020 / 10","Brooklyn","09",3272.6,362.4,316.8,NA,NA,NA,NA,3
"22656","2020 / 10","Brooklyn","05",5295.8,301.4,503.6,NA,NA,NA,NA,3
"22657","2020 / 10","Brooklyn","04",3562.6,371.2,460,NA,NA,NA,NA,3
"22658","2020 / 10","Queens","08",4121.9,503.7,478.2,NA,NA,NA,NA,4
"22659","2020 / 10","Brooklyn","15",5126.4,626.8,578.7,NA,NA,NA,NA,3
"22660","2020 / 10","Manhattan","12",5136.1,546,577.3,NA,NA,NA,NA,1
"22661","2020 / 10","Brooklyn","10",3702.3,543,529.8,NA,NA,NA,NA,3
"22662","2020 / 10","Bronx","05",3773,288.3,412.8,NA,NA,NA,NA,2
"22663","2020 / 11","Brooklyn","08",2839.1,346.6,329.2,NA,NA,11.6,NA,3
"22664","2020 / 11","Brooklyn","03",4488.1,438,435.7,NA,NA,NA,NA,3
"22665","2020 / 11","Queens","03",5239,373.5,542.2,NA,NA,NA,NA,4
"22666","2020 / 11","Manhattan","02",1920,420,309,NA,NA,NA,NA,1
"22667","2020 / 11","Brooklyn","09",3132.5,299.3,252.8,NA,NA,NA,NA,3
"22668","2020 / 12","Brooklyn","12",6782.2,875.5,450.3,NA,NA,NA,NA,3
"22669","2020 / 12","Brooklyn","02",2573.2,625.8,487.5,NA,NA,NA,NA,3
"22670","2020 / 12","Manhattan","12",5082.2,639.3,659.9,NA,NA,NA,NA,1
"22671","2020 / 12","Brooklyn","14",5176.3,562.8,480,NA,NA,NA,NA,3
"22672","2020 / 12","Bronx","08",2536.3,426.9,473.1,NA,NA,NA,NA,2
"22673","2020 / 12","Manhattan","05",1189.7,296.3,202.2,NA,NA,NA,NA,1
