"","MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","BOROUGH_ID"
"14117","2020 / 05","Brooklyn","12",6182.3,760.3,450.2,2.7,NA,NA,NA,3
"14118","2020 / 05","Manhattan","10",2615.5,281.1,298.2,0.8,NA,NA,NA,1
"14119","2020 / 06","Brooklyn","10",3877.5,549,595.6,NA,NA,NA,NA,3
"14120","2020 / 06","Manhattan","11",2354,236.4,217.2,NA,NA,NA,NA,1
"14121","2020 / 06","Bronx","07",4286.6,427.7,607.1,NA,NA,NA,NA,2
"14122","2020 / 06","Queens","05",5693.4,678.2,1089.5,NA,NA,NA,NA,4
"14123","2020 / 06","Bronx","02",1789.9,145.1,177.1,NA,NA,NA,NA,2
"14124","2020 / 07","Brooklyn","17",5472.3,404.8,605,NA,NA,NA,NA,3
"14125","2020 / 07","Bronx","09",4461.4,322.7,496.6,NA,NA,NA,NA,2
"14126","2020 / 07","Manhattan","12",5527.1,591.1,648.2,NA,NA,NA,NA,1
"14127","2020 / 07","Manhattan","07",4295.8,927.1,758.3,NA,NA,NA,NA,1
"14128","2020 / 07","Bronx","03",2392.1,208.8,278.8,NA,NA,NA,NA,2
"14129","2020 / 08","Brooklyn","18",6639.9,588.2,776.9,NA,NA,NA,NA,3
"14130","2020 / 08","Staten Island","03",6861.7,747.8,830.3,NA,NA,NA,NA,5
"14131","2020 / 08","Manhattan","10",2965.8,269.5,271.4,NA,NA,NA,NA,1
"14132","2020 / 08","Queens","12",8452.2,558.4,1085,NA,NA,NA,NA,4
"14133","2020 / 08","Manhattan","09",2460.9,280.4,308.9,NA,NA,NA,NA,1
"14134","2020 / 08","Bronx","10",3068,320.5,531.8,NA,NA,NA,NA,2
"14135","2020 / 09","Manhattan","02",1911.4,452.7,325.3,NA,NA,NA,NA,1
"14136","2020 / 09","Manhattan","04",2400.6,471.3,383.2,NA,NA,NA,NA,1
"14137","2020 / 09","Bronx","09",4236,289.9,465.1,NA,NA,NA,NA,2
"14138","2020 / 09","Staten Island","01",6081.8,612.6,892.7,NA,NA,NA,NA,5
"14139","2020 / 09","Brooklyn","09",3246.4,341.9,301.6,NA,NA,NA,NA,3
"14140","2020 / 10","Manhattan","02",2010.9,455.1,322.5,NA,NA,NA,NA,1
"14141","2020 / 10","Brooklyn","17",4840.6,372.6,508.4,NA,NA,NA,NA,3
"14142","2020 / 10","Brooklyn","01",6226.8,879.7,645.7,NA,NA,NA,NA,3
"14143","2020 / 10","Bronx","06",2473.6,193.8,230.5,NA,NA,NA,NA,2
"14144","2020 / 10","Queens","07",7239.3,862.8,895,NA,NA,NA,NA,4
"14145","2020 / 10","Manhattan","11",2310.5,221.9,196.3,NA,NA,NA,NA,1
"14146","2020 / 10","Queens","06",3015.4,455.6,436.2,NA,NA,NA,NA,4
"14147","2020 / 10","Brooklyn","06",2368.5,642,493,NA,NA,NA,NA,3
"14148","2020 / 10","Manhattan","01",1341.7,434.7,289.9,NA,NA,NA,NA,1
"14149","2020 / 10","Brooklyn","08",2897.2,363.2,335,NA,NA,NA,NA,3
"14150","2020 / 11","Queens","10",4307.4,357.2,563.3,NA,NA,NA,NA,4
"14151","2020 / 11","Bronx","08",2578.3,339.3,382.4,NA,NA,NA,NA,2
"14152","2020 / 11","Queens","12",7505.6,497.2,859.5,NA,NA,NA,NA,4
"14153","2020 / 11","Brooklyn","14",5135.9,495.4,447.5,NA,NA,NA,NA,3
"14154","2020 / 11","Staten Island","02",4976.6,530.5,530.5,NA,NA,1,NA,5
"14155","2020 / 11","Bronx","04",4266.4,299.1,394.9,NA,NA,NA,NA,2
"14156","2020 / 11","Manhattan","01",1207.1,325.3,224.3,NA,NA,NA,NA,1
"14157","2020 / 11","Queens","06",2981.1,388.3,382.1,NA,NA,NA,NA,4
"14158","2020 / 11","Bronx","03",2187.7,160.8,208.6,NA,NA,NA,NA,2
"14159","2020 / 12","Brooklyn","11",5344.1,707,635.2,NA,NA,15.8,NA,3
"14160","2020 / 12","Queens","12",7175.7,648.6,1024.4,NA,NA,NA,NA,4
"14161","2020 / 12","Queens","10",3923.3,466.4,643.7,NA,NA,NA,NA,4
"16890","2020 / 01","Bronx","12",3496.6,389,618.1,135,NA,NA,8.4,2
"16891","2020 / 01","Queens","14",2703.6,267,279.4,58.9,NA,NA,27,4
"16892","2020 / 01","Staten Island","01",4751,650.1,713.9,83.6,NA,NA,35.7,5
"16893","2020 / 01","Manhattan","07",4683.6,1140.8,859.9,42.7,49.8,NA,81,1
"16894","2020 / 02","Queens","09",3267.8,367.3,467.4,122.5,30.8,NA,NA,4
"16895","2020 / 02","Queens","02",2625.6,370.6,361.8,59.6,53.1,NA,NA,4
"16896","2020 / 02","Bronx","09",3262.2,199.7,308.4,NA,NA,NA,NA,2
"16897","2020 / 02","Brooklyn","09",2630.2,250.3,221.8,NA,NA,NA,NA,3
"16898","2020 / 02","Staten Island","02",3418.3,459.3,428.3,NA,30.2,1.6,NA,5
"16899","2020 / 03","Queens","02",2931.5,435.3,445.1,76.6,36,NA,NA,4
"16900","2020 / 03","Manhattan","03",2699.6,305.2,313.6,NA,28.3,NA,NA,1
"16901","2020 / 03","Queens","01",3937.1,638,700.2,NA,NA,NA,NA,4
"16902","2020 / 03","Manhattan","05",1222.5,287.5,194.8,NA,NA,NA,NA,1
"16903","2020 / 03","Queens","12",5999.5,417.8,829.1,NA,NA,NA,NA,4
"16904","2020 / 03","Manhattan","11",2157,204.8,195.6,3.8,NA,NA,NA,1
"16905","2020 / 04","Brooklyn","10",3079,480.5,534.7,56.1,NA,NA,NA,3
"16906","2020 / 04","Queens","10",3617.3,346.3,586.7,57.6,NA,NA,NA,4
"16907","2020 / 04","Bronx","04",3837.1,218.4,383.4,8.6,NA,NA,NA,2
"16908","2020 / 04","Bronx","12",3577.3,357.6,616.3,141.7,NA,NA,NA,2
"16909","2020 / 04","Brooklyn","09",2777.8,284.9,276.5,NA,NA,NA,NA,3
"16910","2020 / 04","Manhattan","09",1878.8,221.2,292.4,31.5,NA,NA,NA,1
"16911","2020 / 04","Queens","04",3709.4,303.8,473.1,NA,NA,NA,NA,4
"16912","2020 / 05","Bronx","10",3101.6,357.9,567.3,7.3,NA,NA,NA,2
"16913","2020 / 05","Bronx","06",2532.2,189.9,250.6,4.9,NA,NA,NA,2
"16914","2020 / 05","Queens","10",4517.3,378.6,675.9,4,NA,NA,NA,4
"16915","2020 / 05","Brooklyn","03",4326.4,426.3,465.2,NA,NA,NA,NA,3
"16916","2020 / 05","Manhattan","09",2171,282.3,326.1,2,NA,NA,NA,1
"16917","2020 / 05","Manhattan","02",1459.8,297.4,278.8,NA,NA,NA,NA,1
"16918","2020 / 05","Manhattan","12",4845.6,499.2,582.9,2,NA,NA,NA,1
"16919","2020 / 05","Manhattan","04",2061,420.9,438.2,1.5,NA,NA,NA,1
"16920","2020 / 05","Staten Island","03",7306.6,853.2,988.1,NA,NA,NA,NA,5
"16921","2020 / 05","Bronx","04",4410.5,321.1,446,0.4,NA,NA,NA,2
"16922","2020 / 05","Brooklyn","08",2710.3,281.2,305.7,NA,NA,NA,NA,3
"16923","2020 / 05","Queens","07",7243.8,811.1,936.3,9.5,NA,NA,NA,4
"16924","2020 / 05","Bronx","07",4027.1,342.8,527.2,NA,NA,NA,NA,2
"16925","2020 / 06","Brooklyn","08",2995,379.8,391.6,NA,NA,NA,NA,3
"16926","2020 / 06","Brooklyn","09",3240.9,315.8,292.2,NA,NA,NA,NA,3
"16927","2020 / 06","Brooklyn","12",6530.9,792,442.9,NA,NA,NA,NA,3
"16928","2020 / 06","Bronx","09",4423.5,326,497.1,NA,NA,NA,NA,2
"16929","2020 / 06","Brooklyn","14",5303.7,559.8,543.8,NA,NA,NA,NA,3
"16930","2020 / 06","Manhattan","12",5361.5,533.9,585.8,NA,NA,NA,NA,1
"16931","2020 / 07","Bronx","10",3095.1,343.1,563.3,NA,NA,NA,NA,2
"16932","2020 / 07","Queens","13",6957.2,552.2,1164.7,NA,NA,NA,NA,4
"16933","2020 / 07","Queens","02",3550.5,487.1,495,NA,NA,NA,NA,4
"16934","2020 / 07","Brooklyn","09",3274.8,360.1,325.4,NA,NA,NA,NA,3
"16935","2020 / 07","Brooklyn","08",3096.7,352.7,367.8,NA,NA,NA,NA,3
"16936","2020 / 07","Bronx","06",2698.3,243.6,280.7,NA,NA,NA,NA,2
"16937","2020 / 07","Brooklyn","14",5241.4,492.8,497.1,NA,NA,NA,NA,3
"16938","2020 / 08","Bronx","02",1767.8,128,168.6,NA,NA,NA,NA,2
"16939","2020 / 08","Manhattan","04",2382.1,430,391.8,NA,NA,NA,NA,1
"16940","2020 / 08","Manhattan","12",5377,490.3,556.5,NA,NA,NA,NA,1
"16941","2020 / 08","Bronx","12",4787.3,433.3,713.8,NA,NA,NA,NA,2
"16942","2020 / 08","Queens","04",4636.3,376.4,577.7,NA,NA,NA,NA,4
"16943","2020 / 09","Queens","06",3133.3,436.8,419.6,NA,NA,NA,NA,4
"16944","2020 / 09","Queens","10",4531.6,392.5,611.9,NA,NA,NA,NA,4
"16945","2020 / 09","Queens","03",5584.6,433.2,625.9,NA,NA,NA,NA,4
"16946","2020 / 09","Manhattan","03",3016.1,392.8,339.8,NA,NA,NA,NA,1
"16947","2020 / 09","Queens","11",3511.2,495.6,520.5,NA,NA,NA,NA,4
"16948","2020 / 09","Brooklyn","04",3728.1,356.8,457.1,NA,NA,NA,NA,3
"16949","2020 / 10","Brooklyn","13",2302.1,205.8,255.6,NA,NA,NA,NA,3
"16950","2020 / 10","Brooklyn","12",7031.3,783.2,446.2,NA,NA,NA,NA,3
"16951","2020 / 10","Manhattan","07",4625,1123.8,825.4,NA,NA,NA,NA,1
"16952","2020 / 10","Queens","03",5410.9,446.4,631.2,NA,NA,NA,NA,4
"16953","2020 / 10","Bronx","03",2207.6,162.1,222.2,NA,NA,NA,NA,2
"16954","2020 / 10","Bronx","01",2307.4,167.6,170,NA,NA,NA,NA,2
"16955","2020 / 10","Brooklyn","14",5203.5,533.9,505.8,NA,NA,NA,NA,3
"16956","2020 / 10","Queens","09",4502.7,426.2,711.4,NA,NA,NA,NA,4
"16957","2020 / 10","Manhattan","10",2833.9,301.2,293.6,NA,NA,NA,NA,1
"16958","2020 / 10","Bronx","11",3477.6,304.2,449.8,NA,NA,NA,NA,2
"16959","2020 / 11","Brooklyn","17",4805,336.9,462.6,NA,NA,NA,NA,3
"16960","2020 / 11","Brooklyn","05",5117.3,285.9,452.8,NA,NA,NA,NA,3
"16961","2020 / 11","Queens","09",4449.3,400.2,616.7,NA,NA,NA,NA,4
"16962","2020 / 11","Queens","08",4010.8,430.4,405.3,NA,NA,NA,NA,4
"16963","2020 / 11","Queens","11",3628.3,445.6,443.3,NA,NA,NA,NA,4
"16964","2020 / 11","Brooklyn","04",3424.2,325.1,412.1,NA,NA,NA,NA,3
"16965","2020 / 11","Manhattan","10",2730.2,254.6,238.6,NA,NA,7.5,NA,1
"16966","2020 / 11","Bronx","07",3863.3,328,504.2,NA,NA,NA,NA,2
"16967","2020 / 11","Manhattan","09",2168.6,240.3,245.4,NA,NA,NA,NA,1
"16968","2020 / 12","Queens","13",5563.5,578.5,1027.6,NA,NA,NA,NA,4
"16969","2020 / 12","Bronx","06",2479.2,240.7,270.5,NA,NA,NA,NA,2
"16970","2020 / 12","Bronx","04",4395.5,339.7,405.9,NA,NA,NA,NA,2
"16971","2020 / 12","Queens","02",3207.7,563.5,519.1,NA,NA,NA,NA,4
"16972","2020 / 12","Queens","09",4198.8,523.5,691.6,NA,NA,NA,NA,4
"19764","2020 / 01","Brooklyn","14",4583.6,488.9,410.3,NA,82.2,NA,10.8,3
"19765","2020 / 01","Queens","13",4520.2,448.6,857.4,172.6,NA,NA,30,4
"19766","2020 / 01","Bronx","03",1927.2,165.4,236.9,NA,NA,NA,2.1,2
"19767","2020 / 01","Bronx","01",1973.9,118.8,142,5.8,NA,NA,23.8,2
"19768","2020 / 02","Brooklyn","04",2665.1,236.5,349,NA,NA,NA,NA,3
"19769","2020 / 02","Manhattan","06",2628.2,526.2,408.4,33.7,NA,NA,NA,1
"19770","2020 / 02","Manhattan","11",2063.2,192.2,181.5,NA,NA,NA,NA,1
"19771","2020 / 02","Manhattan","12",4166.3,398.2,468.2,25.4,37.1,NA,NA,1
"19772","2020 / 02","Manhattan","01",1285.2,385.4,252.1,17.3,NA,NA,NA,1
"19773","2020 / 02","Manhattan","03",2707.7,308.8,301.4,NA,41.7,NA,NA,1
"19774","2020 / 02","Manhattan","10",2316.6,229.9,245.6,16.5,25,NA,NA,1
"19775","2020 / 02","Manhattan","04",2153,472.3,382.8,32.1,NA,NA,NA,1
"19776","2020 / 03","Brooklyn","01",5676.2,680.3,543.8,51.7,NA,NA,NA,3
"19777","2020 / 03","Staten Island","01",4932.1,584.8,688.3,110.5,NA,NA,NA,5
"19778","2020 / 03","Staten Island","03",5463.3,743.4,707.2,NA,18.4,NA,NA,5
"19779","2020 / 03","Queens","10",3461.1,351,515.8,54.6,NA,NA,NA,4
"19780","2020 / 03","Bronx","06",2216.1,156.9,220.7,9.5,18.2,NA,NA,2
"19781","2020 / 03","Queens","03",4577.8,324.9,483.8,NA,NA,NA,NA,4
"19782","2020 / 03","Bronx","01",1971,130.1,160.7,4.7,NA,NA,NA,2
"19783","2020 / 04","Manhattan","12",4258.4,440.4,590.3,29.9,NA,NA,NA,1
"19784","2020 / 04","Bronx","09",3568.1,214.5,376.6,NA,NA,NA,NA,2
"19785","2020 / 04","Bronx","08",2177.5,326.8,419.6,63.4,NA,NA,NA,2
"19786","2020 / 04","Manhattan","04",1845.2,402.7,427.6,27.7,NA,NA,NA,1
"19787","2020 / 05","Brooklyn","14",4849.4,473.9,465.7,NA,NA,NA,NA,3
"19788","2020 / 05","Brooklyn","02",2401.4,448,463.7,5.1,NA,NA,NA,3
"19789","2020 / 05","Bronx","03",2190.1,176.9,247.9,NA,NA,NA,NA,2
"19790","2020 / 05","Bronx","09",4199.8,274.4,442.9,NA,NA,NA,NA,2
"19791","2020 / 05","Brooklyn","05",5159.9,293.5,493.1,NA,NA,NA,NA,3
"19792","2020 / 05","Brooklyn","18",6168.7,599.6,767.5,NA,NA,NA,NA,3
"19793","2020 / 05","Queens","02",3165.6,425.1,486.5,5.4,NA,NA,NA,4
"19794","2020 / 05","Brooklyn","06",2144.7,505.6,473.5,7.1,NA,NA,NA,3
"19795","2020 / 06","Bronx","10",3135.3,341.9,580.2,NA,NA,NA,NA,2
"19796","2020 / 06","Brooklyn","05",5753.7,376.3,590.9,NA,NA,NA,NA,3
"19797","2020 / 06","Queens","02",3485.3,478.1,500,NA,NA,NA,NA,4
"19798","2020 / 06","Manhattan","10",2885.8,306.7,302.7,NA,NA,NA,NA,1
"19799","2020 / 06","Queens","06",3183.6,445.1,449.1,NA,NA,NA,NA,4
"19800","2020 / 06","Queens","14",3903.7,307.8,382.9,NA,NA,NA,NA,4
"19801","2020 / 06","Manhattan","07",4286,913.8,774.1,NA,NA,NA,NA,1
"19802","2020 / 07","Brooklyn","07",3886.4,456.8,490.4,NA,NA,NA,NA,3
"19803","2020 / 07","Queens","11",3519.5,491.3,544,NA,NA,NA,NA,4
"19804","2020 / 07","Brooklyn","05",5906.2,391.1,614.3,NA,NA,NA,NA,3
"19805","2020 / 07","Brooklyn","03",4746.2,492.5,525.9,NA,NA,NA,NA,3
"19806","2020 / 07","Brooklyn","12",5702.8,670.7,412.2,NA,NA,NA,NA,3
"19807","2020 / 07","Manhattan","02",1765.4,363.4,301.4,NA,NA,NA,NA,1
"19808","2020 / 07","Brooklyn","16",2769.8,162.4,246.7,NA,NA,NA,NA,3
"19809","2020 / 07","Queens","04",4762.7,440.3,605.2,NA,NA,NA,NA,4
"19810","2020 / 07","Bronx","07",4304.2,435.2,626.2,NA,NA,NA,NA,2
"19811","2020 / 08","Bronx","04",4577.6,336.1,461.9,NA,NA,NA,NA,2
"19812","2020 / 08","Manhattan","06",2707.7,444.7,390.6,NA,NA,NA,NA,1
"19813","2020 / 08","Manhattan","05",1256.4,227.3,163.6,NA,NA,NA,NA,1
"19814","2020 / 08","Brooklyn","06",2269.6,503.5,428.5,NA,NA,NA,NA,3
"19815","2020 / 09","Queens","04",4453.7,377.3,592.7,NA,NA,NA,NA,4
"19816","2020 / 09","Staten Island","03",6615.1,788.9,818.6,NA,NA,NA,NA,5
"19817","2020 / 09","Queens","07",7466.3,809,876.2,NA,NA,NA,NA,4
"19818","2020 / 09","Brooklyn","06",2367.9,585.7,448.8,NA,NA,NA,NA,3
"19819","2020 / 09","Bronx","03",2252.3,247.9,315,NA,NA,NA,NA,2
"19820","2020 / 09","Brooklyn","11",5520.2,639.9,617.5,NA,NA,NA,NA,3
"19821","2020 / 09","Queens","14",3713.5,278.8,341.9,NA,NA,NA,NA,4
"19822","2020 / 09","Manhattan","08",4808.4,1075.1,751.7,NA,NA,NA,NA,1
"19823","2020 / 10","Brooklyn","18",6102.5,635,732.8,NA,NA,NA,NA,3
"19824","2020 / 10","Queens","02",3341.8,468.4,452.9,NA,NA,NA,NA,4
"19825","2020 / 10","Brooklyn","16",2461.2,131.5,234.5,NA,NA,NA,NA,3
"19826","2020 / 10","Queens","01",4278.6,689.5,708,NA,NA,NA,NA,4
"19827","2020 / 10","Queens","10",4411.8,405.1,603.2,NA,NA,NA,NA,4
"19828","2020 / 10","Bronx","08",2557.6,370.7,411.1,NA,NA,NA,NA,2
"19829","2020 / 11","Bronx","06",2438.6,170.8,208.8,NA,NA,NA,NA,2
"19830","2020 / 11","Bronx","09",3985.2,243.5,374,NA,NA,NA,NA,2
"19831","2020 / 11","Brooklyn","07",3469.4,418.1,403.5,NA,NA,NA,NA,3
"19832","2020 / 11","Queens","14",3268.5,250.5,279.1,NA,NA,NA,NA,4
"19833","2020 / 11","Queens","13",6203.2,466.8,834.6,NA,NA,NA,NA,4
"19834","2020 / 11","Brooklyn","11",5301.1,568.4,547.4,NA,NA,7.4,NA,3
"19835","2020 / 11","Brooklyn","13",2136.5,186.6,222.9,NA,NA,NA,NA,3
"19836","2020 / 11","Queens","05",5513,605.1,736.4,NA,NA,NA,NA,4
"19837","2020 / 11","Manhattan","03",2718.3,318.1,289.2,NA,NA,NA,NA,1
"19838","2020 / 11","Brooklyn","18",6116.7,562.4,609.5,NA,NA,NA,NA,3
"19839","2020 / 12","Manhattan","06",2646.9,632.2,473.5,NA,NA,NA,NA,1
"19840","2020 / 12","Brooklyn","06",2336.9,687.6,511.7,NA,NA,NA,NA,3
